STATENAME	POP	SEASON
Montana	1053090	2017-18
Nebraska	1917575	2017-18
Nevada	2972405	2017-18
New Hampshire	1349767	2017-18
New Jersey	8888543	2017-18
New Mexico	2093395	2017-18
New York	19590719	2017-18
North Carolina	10270800	2017-18
North Dakota	755176	2017-18
Ohio	11664129	2017-18
Oklahoma	3932640	2017-18
Oregon	4146592	2017-18
Pennsylvania	12790447	2017-18
Rhode Island	1056486	2017-18
South Carolina	5021219	2017-18
South Dakota	873286	2017-18
Tennessee	6708794	2017-18
Texas	28322717	2017-18
Utah	3103118	2017-18
Vermont	624525	2017-18
Virginia	8465207	2017-18
Washington	7425432	2017-18
West Virginia	1817048	2017-18
Wisconsin	5792051	2017-18
Wyoming	578934	2017-18
Alabama	4887871	2018-19
Alaska	737438	2018-19
Arizona	7171646	2018-19
Arkansas	3013825	2018-19
California	39557045	2018-19
Colorado	5695564	2018-19
Connecticut	3572665	2018-19
Delaware	967171	2018-19
District of Columbia	702455	2018-19
Florida	21299325	2018-19
Georgia	10519475	2018-19
Hawaii	1420491	2018-19
Idaho	1754208	2018-19
Illinois	12741080	2018-19
Indiana	6691878	2018-19
Iowa	3156145	2018-19
Kansas	2911505	2018-19
Kentucky	4468402	2018-19
Louisiana	4659978	2018-19
Maine	1338404	2018-19
Maryland	6042718	2018-19
Massachusetts	6902149	2018-19
Michigan	9995915	2018-19
Minnesota	5611179	2018-19
Mississippi	2986530	2018-19
Missouri	6126452	2018-19
Montana	1062305	2018-19
Nebraska	1929268	2018-19
Nevada	3034392	2018-19
New Hampshire	1356458	2018-19
New Jersey	8908520	2018-19
New Mexico	2095428	2018-19
New York	19542209	2018-19
North Carolina	10383620	2018-19
North Dakota	760077	2018-19
Ohio	11689442	2018-19
Oklahoma	3943079	2018-19
Oregon	4190713	2018-19
Pennsylvania	12807060	2018-19
Rhode Island	1057315	2018-19
South Carolina	5084127	2018-19
South Dakota	882235	2018-19
Tennessee	6770010	2018-19
Texas	28701845	2018-19
Utah	3161105	2018-19
Vermont	626299	2018-19
Virginia	8517685	2018-19
Washington	7535591	2018-19
West Virginia	1805832	2018-19
Wisconsin	5813568	2018-19
Wyoming	577737	2018-19
